timestamp_us,accel_x_mg,accel_y_mg,accel_z_mg,gyro_x_mdps,gyro_y_mdps,gyro_z_mdps
16802789,1010.4,6.47,-65.39,210.0,280.0,0.0
16811789,1011.5,7.08,-65.76,140.0,210.0,0.0
16820788,1011.14,7.56,-64.66,-70.0,350.0,70.0
16827789,1011.87,6.71,-66.37,-420.0,280.0,0.0
16836789,1010.4,6.1,-67.47,-490.0,280.0,0.0
16845789,1010.77,5.0,-68.93,-210.0,210.0,0.0
16852789,1010.77,5.37,-68.08,210.0,210.0,0.0
16861788,1011.01,7.56,-65.88,280.0,140.0,0.0
16868789,1011.5,7.32,-66.61,0.0,280.0,70.0
16877789,1010.89,6.71,-66.61,-280.0,280.0,0.0
16886789,1010.89,5.25,-67.1,-350.0,350.0,0.0
16893790,1010.77,5.12,-66.49,0.0,210.0,0.0
16902789,1011.87,5.49,-67.47,210.0,210.0,0.0
16911788,1010.4,6.71,-65.76,280.0,210.0,0.0
16918790,1011.5,7.44,-66.86,0.0,140.0,0.0
16927789,1011.87,7.44,-65.51,-350.0,280.0,70.0
16934789,1010.04,5.37,-66.49,-490.0,350.0,70.0
16943788,1011.01,5.25,-68.08,-210.0,280.0,70.0
16952789,1010.53,5.98,-66.73,140.0,280.0,0.0
16959790,1010.89,6.95,-65.76,210.0,210.0,0.0
16968788,1011.38,7.44,-66.86,-70.0,210.0,0.0
16975789,1011.01,5.86,-65.76,-210.0,280.0,0.0
16984788,1011.26,6.22,-66.49,-280.0,280.0,0.0
16993789,1010.4,6.1,-66.73,-210.0,280.0,0.0
17000790,1010.89,6.59,-68.81,-140.0,210.0,0.0
17009788,1010.89,6.83,-67.95,0.0,280.0,0.0
17018788,1010.65,6.34,-66.12,140.0,210.0,70.0
17025789,1010.65,6.1,-66.0,70.0,280.0,0.0
17034789,1010.77,6.71,-66.86,-70.0,280.0,0.0
17041790,1011.01,6.71,-66.12,-210.0,280.0,70.0
17050789,1010.77,6.34,-66.98,-210.0,350.0,0.0
17059789,1011.26,5.98,-67.34,-210.0,280.0,0.0
17066789,1011.38,5.61,-67.47,-70.0,350.0,0.0
17075789,1010.04,5.61,-67.59,140.0,210.0,0.0
17082790,1011.38,7.08,-67.95,140.0,210.0,0.0
17091788,1010.28,6.83,-66.25,0.0,280.0,0.0
17100788,1011.26,7.08,-66.86,-70.0,280.0,0.0
17107789,1010.77,5.73,-66.37,-280.0,280.0,0.0
17116788,1011.26,6.59,-67.47,-210.0,280.0,70.0
17125789,1010.77,5.86,-66.49,-140.0,280.0,0.0
17132790,1010.53,6.34,-66.49,-70.0,210.0,0.0
17141788,1011.14,6.34,-67.34,0.0,280.0,0.0
17148789,1010.28,7.08,-66.12,-70.0,210.0,0.0
17157789,1011.14,6.1,-68.2,-140.0,210.0,0.0
17166788,1010.65,6.71,-66.86,-140.0,280.0,0.0
17173789,1011.14,6.22,-67.22,0.0,210.0,0.0
17182789,1011.38,6.22,-66.49,0.0,210.0,0.0
17189790,1011.5,6.47,-66.98,-70.0,280.0,70.0
17198788,1010.89,5.98,-67.47,-140.0,280.0,70.0
17207788,1010.65,5.49,-67.22,0.0,280.0,0.0
17214789,1010.16,6.59,-67.1,140.0,280.0,0.0
17223788,1011.01,6.95,-67.22,70.0,280.0,70.0
17232788,1011.01,7.08,-66.61,-140.0,280.0,70.0
17239790,1011.26,7.32,-67.22,-210.0,280.0,0.0
17248788,1010.77,5.61,-67.1,-210.0,280.0,0.0
17255789,1011.14,5.61,-67.22,-70.0,210.0,0.0
17264788,1011.5,6.59,-67.47,70.0,280.0,0.0
17273789,1009.92,6.71,-67.22,0.0,210.0,0.0
17280789,1010.16,6.47,-65.88,-70.0,140.0,0.0
17289789,1012.72,7.08,-66.37,-280.0,210.0,0.0
17298788,1010.4,5.61,-65.76,-420.0,280.0,0.0
17305790,1010.4,5.0,-68.69,-210.0,210.0,0.0
17314789,1011.01,5.12,-67.95,70.0,280.0,0.0
17321789,1011.26,6.47,-66.12,210.0,210.0,0.0
17330789,1011.01,7.69,-66.49,0.0,350.0,0.0
17339789,1011.5,6.95,-64.54,-210.0,280.0,0.0
17346789,1011.01,5.98,-66.98,-280.0,210.0,0.0
17355788,1010.53,5.37,-67.83,-280.0,350.0,0.0
17362789,1009.43,4.64,-66.98,-70.0,210.0,0.0
17371789,1011.01,5.98,-68.56,210.0,210.0,0.0
17380789,1010.16,6.59,-65.64,210.0,210.0,0.0
17387789,1011.62,8.91,-64.29,-140.0,140.0,0.0
17396788,1011.26,5.86,-68.44,-490.0,420.0,0.0
17405789,1009.79,4.39,-67.22,-140.0,280.0,70.0
17412790,1011.14,4.27,-69.42,490.0,210.0,70.0
17421788,1010.28,6.71,-65.27,910.0,140.0,0.0
17428790,1011.99,10.13,-64.29,560.0,70.0,0.0
17437788,1010.89,9.03,-63.32,-490.0,350.0,0.0
17446789,1012.23,7.93,-66.25,-1050.0,140.0,70.0
17453790,1010.28,3.42,-69.66,-840.0,630.0,0.0
17462789,1011.62,4.51,-69.78,70.0,140.0,0.0
17469789,1010.28,5.25,-67.1,560.0,140.0,0.0
17478789,1011.87,8.17,-65.39,280.0,210.0,0.0
17487789,1011.14,8.42,-64.29,-210.0,350.0,0.0
17494789,1011.14,8.05,-63.81,-910.0,350.0,0.0
17503788,1011.14,5.12,-68.08,-1120.0,420.0,0.0
17512788,1010.04,4.03,-67.47,-770.0,350.0,0.0
17519789,1009.43,2.93,-70.76,140.0,210.0,0.0
17528788,1010.4,5.25,-67.22,840.0,210.0,0.0
17535790,1011.62,8.17,-65.15,770.0,140.0,0.0
17544788,1012.84,10.0,-64.05,-140.0,350.0,0.0
17553788,1010.77,8.54,-64.42,-980.0,490.0,70.0
17560790,1009.79,5.12,-66.73,-1050.0,490.0,0.0
17569789,1010.16,3.78,-67.95,-560.0,350.0,0.0
17576790,1010.28,4.15,-69.05,70.0,140.0,0.0
17585788,1011.14,5.37,-67.59,560.0,210.0,70.0
17594788,1011.62,7.81,-65.15,490.0,140.0,0.0
17601790,1010.77,8.42,-64.54,70.0,280.0,0.0
17610788,1010.89,6.59,-69.66,-140.0,490.0,0.0
17619789,1008.57,1.83,-63.56,-70.0,140.0,0.0
17626789,1013.94,5.12,-78.08,1260.0,-70.0,-70.0
17635788,1007.6,7.93,-55.63,1470.0,-70.0,0.0
17642790,1015.28,12.69,-69.78,350.0,-280.0,0.0
17651788,1009.43,8.17,-61.61,-980.0,630.0,70.0
17660788,1011.75,5.0,-69.78,-1120.0,140.0,0.0
17667789,1010.65,2.56,-70.52,-560.0,420.0,0.0
17676789,1010.16,5.25,-66.61,210.0,140.0,0.0
17685788,1011.87,7.2,-68.32,280.0,280.0,0.0
17692790,1010.04,6.83,-62.95,70.0,350.0,0.0
17701788,1011.38,7.93,-66.86,-210.0,210.0,0.0
17708789,1010.4,6.34,-64.54,-560.0,420.0,0.0
17717788,1011.01,5.49,-68.32,-560.0,140.0,70.0
17726789,1010.4,5.25,-68.69,-350.0,350.0,0.0
17733789,1011.26,6.1,-65.88,-210.0,140.0,0.0
17742789,1010.89,6.95,-66.98,-280.0,350.0,0.0
17749790,1010.65,5.98,-67.22,-420.0,350.0,0.0
17758788,1010.65,5.98,-67.59,-490.0,420.0,70.0
17767788,1010.77,5.12,-67.83,-280.0,350.0,0.0
17774789,1010.4,5.61,-66.0,-70.0,350.0,0.0
17783789,1011.26,6.95,-66.98,-70.0,210.0,0.0
17792789,1011.01,6.59,-67.59,-140.0,280.0,0.0
17799789,1010.04,4.51,-65.15,-280.0,280.0,0.0
17808789,1011.99,6.34,-69.05,0.0,210.0,0.0
17815790,1009.18,4.88,-65.76,-70.0,280.0,0.0
17824789,1011.99,7.2,-66.12,140.0,70.0,0.0
17833789,1010.4,4.15,-68.56,140.0,350.0,0.0
17840789,1010.89,6.22,-66.49,350.0,210.0,0.0
17849788,1011.26,6.59,-66.37,350.0,140.0,0.0
